,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-02-23 21:00:00,-2538514.9787985785,-94956.00663744303,-5080255.562542496,-335902.1515743656,-1451519.658005891,-472516.0290766888,-1021854.55760208,-1942833.4409959156,-1303189.6112013678,-241105.9602569871,-554150.0668020099,-1476497.7420217788,-428024.5936236955,-1432337.6626347143,-90474.62603074024,-742119.7194494348,-266712.26601472474,-276156.19054900407,-1534201.9956945938,-148568.94793070256
2015-02-23 22:00:00,-445782.3046431045,-65379.82061559924,-741578.4060833257,-307436.70316966815,-28243.567100912525,-88088.04993223936,-5021.040002572601,-2276.074932713693,-37220.04117715621,-0.0,-2216.332265415804,-0.0,-3289.1690336542474,-0.0,-646.3766018835506,-0.0,-0.0,-0.0,-0.0,-0.0
2015-02-23 23:00:00,-1081298.5680562877,-92962.72698319888,-1674910.9436986046,-404209.3269228437,-73919.87933615064,-170417.95488112236,-43878.38024925,-116302.2816780452,-203216.98172992436,-9568.674460348639,-67006.48114569068,-12622.447151617853,-33716.71861572476,-4356.812129747964,-4477.201190449427,-0.0,-4342.617420356877,-0.0,-25236.88806369744,-0.0
2015-02-24 00:00:00,-1242535.1802385973,-96453.61455965484,-2280652.8335839873,-462088.8030270482,-146420.55031874598,-224592.58063978102,-184093.95508210454,-270239.26295479527,-323133.01505528565,-47463.95256950857,-122959.01650007456,-39673.91216497601,-86210.6222953779,-16993.29195440186,-12318.636569306233,-0.0,-21657.628135202318,-9975.791323682004,-65685.81359400386,-0.0
2015-02-24 01:00:00,-1394537.2097026722,-102828.23279690511,-2607161.3796626343,-492016.9468467626,-265103.5840403576,-247930.26638678563,-279530.11048751156,-323419.78896604216,-426041.0920414649,-68296.12586084547,-153201.2856027063,-57139.83376612245,-115792.05830020564,-20792.02990356984,-16158.129843130622,-5265.527304876911,-25509.27752701717,-19036.1397214884,-170997.65777758913,-0.0
2015-02-24 02:00:00,-1570868.7258430626,-108424.32363679873,-2948202.67014527,-528425.9714422219,-381465.90190543485,-274897.95956222015,-324508.0843789569,-409439.01640339365,-666443.2638381997,-92262.53937078203,-170866.46617133255,-76452.71242544753,-138751.3527138259,-33436.61534465369,-17714.020812541396,-10422.589959397694,-30270.66377377685,-29702.91704672352,-269466.86085062055,-0.0
2015-02-24 03:00:00,-1633551.0789281474,-114431.34371257064,-3020090.416461254,-563107.1078135568,-504878.13917071844,-309701.69755103596,-342241.26007884595,-597715.3978458769,-886240.7126428036,-120653.87499071014,-199814.2873831989,-126704.77382126036,-165774.53172413417,-57394.939235623526,-20677.808102973973,-16105.403783437085,-35717.74970745783,-51453.73492997898,-347330.4368164823,-428.7654731840845
2015-02-24 04:00:00,-1681654.5591891033,-121108.98986349601,-3113634.413188217,-587395.2139007023,-602220.199723481,-341128.55815112346,-392985.9097662437,-748252.5343951609,-1042769.3754413084,-150797.76092335558,-242438.07857254206,-210625.55033674007,-196366.27429127644,-81572.57050747362,-23963.34640114105,-24017.42385262298,-43463.29736066371,-69744.05113863706,-419978.971575659,-2241.3084710201397
2015-02-24 05:00:00,-4407951.212593896,-232494.9349961052,-9924848.452508194,-1544286.7892082296,-3103867.747477606,-1096653.104020775,-1620676.4530295748,-3596137.9768750328,-3963944.084024601,-736162.4242521224,-1355303.87677051,-4831807.966149982,-865191.086528986,-3767889.2827103226,-148028.90170848303,-2400982.2576304153,-209488.94542560267,-1269214.4940565634,-2943221.055904737,-603380.0921337358
2015-02-24 06:00:00,-6617451.429896742,-262963.2109393976,-14626348.596747896,-1575268.978676969,-4566104.419503036,-1426114.638189573,-2803023.0091358903,-5733129.711271923,-4700763.519857929,-839268.3109046682,-1655511.4714207554,-5617514.839792772,-1208763.3512841207,-4728621.892289622,-237374.6755074972,-2645017.2604238573,-542097.8402155378,-1269901.579319064,-4294324.028591951,-726577.1498673303
2015-02-24 07:00:00,-5110667.178224115,-226391.71192638238,-11137827.628714377,-1340608.8040004994,-3137576.1393193146,-1069878.0607599912,-2053839.219895648,-4026560.9412174867,-3389261.6338835107,-520506.4671841836,-1102885.5635605538,-3342076.823087359,-735101.667375583,-2919710.460194265,-147496.66882253086,-1544816.7997474489,-316108.98617086996,-881003.6281165787,-2501684.460035834,-597701.2747168754
2015-02-24 08:00:00,-3348905.015821214,-135949.98188944123,-6296904.297084316,-525365.8285433602,-1845528.635589463,-474228.68083821714,-1243043.1632309097,-2467208.8046105127,-1838190.3975072068,-226167.20296605915,-497172.95677368785,-1419397.0777357533,-328883.1574067324,-1375153.8044204474,-69484.13386570352,-509963.35900143854,-215766.02478299002,-306951.36301384785,-1221217.4742212875,-289834.4187032668
